adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/syjh4WJARo5gwjyUYxOPOElWGWh.jpg,"27, 53",698320,en,The Mad Hatter,"An eccentric professor takes four of his students to the mansion of the “Mad Hatter”, an urban legend driven insane by mercury poisoning and grief. He says that there’s nothing to worry about now: the strange, shambling “caretakers” that haunt the home are merely servants that have fallen to inbreeding, and the Hatter himself has been dead for years. But as the students start disappearing one by one, those that remain start to question if the professor’s experiment is truly scientific...and if the Hatter didn’t just succumb to his madness, but decided to spread it...",54.665,/lTUfalNirpq7SBASa6lnzs27iam.jpg,2021-01-29,The Mad Hatter,False,5.7,50
False,/qjhcTGnjxYJqwBGlDzZkYWmne6e.jpg,"10749, 35, 18",614409,en,To All the Boys: Always and Forever,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,52.664,/iepqdM52f4w75fNcvgRF5QoIAjm.jpg,2021-02-12,To All the Boys: Always and Forever,False,7.7,1626
False,/z1btePhD1jIDLbjy5OCnO0KVf5O.jpg,"12, 28, 14",1735,en,The Mummy: Tomb of the Dragon Emperor,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",58.582,/A3acM1lX5PNWQa6r5qeMAJOxbnT.jpg,2008-07-01,The Mummy: Tomb of the Dragon Emperor,False,5.4,3825
False,/d455zyZOL6OUIstwMBho534uUSG.jpg,"16, 10751",11886,en,Robin Hood,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.",54.074,/x9AvkYek0bGdxQSZ8W3lAjGrREm.jpg,1973-11-08,Robin Hood,False,7.3,3767
False,/ouOojiypBE6CD1aqcHPVq7cJf2R.jpg,"53, 28, 18",578701,en,Those Who Wish Me Dead,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.",62.551,/xCEg6KowNISWvMh8GvPSxtdf9TO.jpg,2021-05-05,Those Who Wish Me Dead,False,6.8,1242
False,/2cteiqXBe22uO3nF4OaLus0k1XX.jpg,"28, 35, 80, 9648",302699,en,Central Intelligence,"After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",65.818,/7Ou0TRJLi72AwLEUlo7Kym4XuNB.jpg,2016-06-15,Central Intelligence,False,6.4,5075
False,/a58oc5qGNazb3QOxEH8eG5S7gjr.jpg,"80, 18",103,en,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,51.958,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,1976-02-09,Taxi Driver,False,8.2,9946
False,/xxoMXFxT44C4IelD65aZKEAOIkc.jpg,35,23988,en,Stan Helsing,"It's Halloween night and video store clerk Stan Helsing just got stuck with a last minute request to deliver some videos. With his best friend, his best friend's date, and a smoking hot ex-girlfriend waiting to go to a party, Stan convinces them to take a side trip to Stormy Night Estates for the drop. But the group gets locked inside and Stan discovers he's actually Stan Van Helsing, descendan",73.86,/qDlmKahejt0NoQzw65tnLayEhHZ.jpg,2009-10-27,Stan Helsing,False,4.2,390
False,/fGVU8i7hYFgrYO8BzRQIOogKNcg.jpg,"53, 80, 28",265208,en,Wild Card,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.",67.343,/zN80Tlly8oMpKbVJv2TfRIj8dHG.jpg,2015-01-14,Wild Card,False,5.6,1504
False,/dH6m8iWJEPIFoyQaZiuo9Ih7kpA.jpg,"28, 53, 878",218,en,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",62.944,/qvktm0BHcnmDpul4Hz01GIazWPr.jpg,1984-10-26,The Terminator,False,7.6,10927
False,/41objfan7PDTBG5MFXQl4ownQzJ.jpg,"28, 12, 35, 10751, 878",308531,en,Teenage Mutant Ninja Turtles: Out of the Shadows,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",56.051,/euVaCiCWz3AALcQXHT6aUqdGUo6.jpg,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,False,6.0,3000
False,/jFp5aAlGQ1H3gwdORL2urr8dnoN.jpg,"36, 18, 53, 10752",205596,en,The Imitation Game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",52.692,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014-11-14,The Imitation Game,False,8.0,15080
False,/c4eAnXgvCHisvfa7wqnxjGMDnJq.jpg,"28, 18, 9648, 53, 80",7485,en,Shooter,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why??",64.53,/tyRP8JedrDkPPvH3JxKYsdP2esu.jpg,2007-03-22,Shooter,False,7.1,4008
False,/bmuTrxbPcr1nKCsV5YWWJi73PGR.jpg,"28, 12, 35, 10751, 878",12279,en,Spy Kids 3-D: Game Over,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",55.077,/oP53PyexPlQd1xDt8kkvX5LdQdT.jpg,2003-07-25,Spy Kids 3-D: Game Over,False,5.1,1874
False,/oNoprEND25zXR6Fns8cIZUkuoMc.jpg,"35, 80, 18",308266,en,War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",58.785,/uH9qGH5XS1iZXCSb3tgu40dxQoh.jpg,2016-08-17,War Dogs,False,6.9,4144
False,/6fRVz7ZIZIGFEOq4THY2pdBBhfS.jpg,"35, 10749",934761,en,A Perfect Pairing,"To land a major client, an LA wine exec travels to an Australian sheep station, where she signs on as a ranch hand and hits it off with a rugged local.",74.324,/h65lLhYEfRGOWVZzwX9n7vYOixf.jpg,2022-05-19,A Perfect Pairing,False,6.8,361
False,/h1NOeI3S6TgBqyzxKdlfkiqEpcR.jpg,"27, 35",839678,en,Unhuman,"After their school bus crashes, a group of high school students is thrown into a terrifying fight for survival as they try to take down a group of unhuman savages… before they kill each other first.",63.94,/a0YCxxFhZSczKrw3FHDV0nTyHb5.jpg,2022-06-03,Unhuman,False,5.5,67
False,/isBUqT3hGKvzIoiGcVzURh1EdvQ.jpg,"53, 9648",840882,en,The Weekend Away,"When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception.",68.132,/6MS0QEl7UK2gdFFbHfNwuYlsq4H.jpg,2022-03-03,The Weekend Away,False,6.0,511
False,/sGqqnvOqJg2HDHrjtCPIlCwF4Mu.jpg,"28, 53",423204,en,Angel Has Fallen,"After a treacherous attack, Secret Service agent Mike Banning is charged with attempting to assassinate President Trumbull. Chased by his own colleagues and the FBI, Banning begins a race against the clock to clear his name.",60.72,/fapXd3v9qTcNBTm39ZC4KUVQDNf.jpg,2019-08-21,Angel Has Fallen,False,6.5,2867
False,/oaOZ3EavXCBKXnkNoVTVZykmoOD.jpg,18,535845,en,Brian Banks,An All-American football player's dreams to play in the NFL are halted when he is falsely accused of rape and sent to prison.,75.561,/4MnCFcFHYAEMG4NBTUKvjhf5AhU.jpg,2019-08-09,Brian Banks,False,7.3,156
False,/bo5M1dW76b3QuRFcTL8KPmN6WYj.jpg,"16, 35, 12, 10751",454640,en,The Angry Birds Movie 2,"Red, Chuck, Bomb and the rest of their feathered friends are surprised when a green pig suggests that they put aside their differences and unite to fight a common threat. Aggressive birds from an island covered in ice are planning to use an elaborate weapon to destroy the fowl and swine.",60.559,/ebe8hJRCwdflNQbUjRrfmqtUiNi.jpg,2019-08-02,The Angry Birds Movie 2,False,7.1,1356
False,/cbeRY8ItWaU9ShHezg3cys1mAJk.jpg,27,982317,en,11th Hour Cleaning,A group of crime scene cleaners struggle to escape a murder house after becoming trapped by an ancient Nordic demon that is hell-bent on driving them insane.,82.016,/kkWEQx1qJfdOkCvXQTIOQDrMaa1.jpg,2022-07-05,11th Hour Cleaning,False,5.5,13
False,/sFEYsEfzTx7hhjetlNrme8B5OUo.jpg,"28, 53, 878",752,en,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",60.429,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,2006-02-23,V for Vendetta,False,7.9,12685
False,/f4KiaxSD5B8bcg5VLsvrDhaZlFu.jpg,"80, 28, 53",189,en,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,51.488,/50kALxDX4mmzIRljbNbPY0u4cie.jpg,2014-08-20,Sin City: A Dame to Kill For,False,6.4,3313
False,/nAhKxK8inVjHeHAw6W2xkQjdbh5.jpg,"12, 28, 27",119698,en,The Dinosaur Project,Found footage of an expedition into the Congo jungle where a team of explorers stumbles upon a colony of Dinosaurs.,65.52,/rUAsgohDDBWLb24FyxdjEZQPava.jpg,2012-08-09,The Dinosaur Project,False,5.6,239
False,/zlj0zHo67xXoj7hvwGtaKRkSdBV.jpg,"12, 18, 53",728526,en,Encounter,"A decorated Marine goes on a rescue mission to save his two young sons from an unhuman threat. As their journey takes them in increasingly dangerous directions, the boys will need to leave their childhoods behind.",62.567,/tUkY0WxffPZ9PoyC62PIyyUMGnt.jpg,2021-12-03,Encounter,False,6.5,355
False,/6mPe4rBHzDMal2oL6hVgOBkaHz9.jpg,"12, 27, 35",257445,en,Goosebumps,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",64.415,/tv3ZXHew24cvww7LdsbwTfttfmd.jpg,2015-08-05,Goosebumps,False,6.3,3319
False,/1R6cvRtZgsYCkh8UFuWFN33xBP4.jpg,"18, 28, 53",545609,en,Extraction,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.",68.118,/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg,2020-04-24,Extraction,False,7.3,4697
False,/k9tMAeSgaFASNedoxvyzMnTcilV.jpg,"10751, 12, 35, 16",13654,en,101 Dalmatians II: Patch's London Adventure,"Being one of 101 takes its toll on Patch, who doesn't feel unique. When he's accidentally left behind on moving day, he meets his idol, Thunderbolt, who enlists him on a publicity campaign.",59.991,/mcl56J7tDPjzEesgpX4UPgAdbvf.jpg,2002-11-06,101 Dalmatians II: Patch's London Adventure,False,6.0,986
False,/wofhl2lsTYCPmMQPsbj6iu9n0P6.jpg,"80, 18, 53",242582,en,Nightcrawler,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",65.758,/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,2014-10-23,Nightcrawler,False,7.7,9336
False,/xmEFsCIPLbP4IyDnzbemmykLS4b.jpg,"28, 878, 53",156717,en,Death Race: Inferno,"Carl Lucas / Frankenstein has won four of his races and needs to win one more to win his freedom. Before his final race, Lucas and his team, car and all, are transferred to another prison where they will compete in a Death Race in the desert. Also, at the same time, Ceaser runs into a marketer who wants to franchise the Death Race program.",58.968,/aRV4oC61nmBqypSaXtMXOk99dOM.jpg,2013-01-04,Death Race: Inferno,False,5.8,623
False,/fIzLjPSG3DS7WW6IsqsR6p2b2Yx.jpg,"10751, 14, 35",14442,en,Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",52.414,/dH8yHmqUra0gqzMJJKXiyfKkB57.jpg,2004-04-09,Ella Enchanted,False,6.4,1595
False,/jRJrQ72VLyEnVsvwfep8Xjlvu8c.jpg,"80, 18, 28",101,en,Léon: The Professional,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",52.81,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,1994-09-14,Léon: The Professional,False,8.3,12612
False,/mVuH9hNGnxF9bbhlh1Tr9FuG3Uc.jpg,"12, 16, 10751, 14, 878",9016,en,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",63.16,/zMKatZ0c0NCoKzfizaCzVUcbKMf.jpg,2002-11-26,Treasure Planet,False,7.5,3486
False,/r4yFYBEcV247B9VXi1307fIhVqN.jpg,"28, 35, 80",2109,en,Rush Hour,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.",69.957,/we7wOLVFgxhzLzUt0qNe50xdIQZ.jpg,1998-09-18,Rush Hour,False,7.0,3909
